3072
Timestep: 810000
1	0.903242	0.907792	2.6315
2	1.21042	0.720921	2.73803
2	0.596067	1.09466	2.52498
2	0.988359	0.842838	2.27211
2	0.818126	0.972747	2.99089
3	7.12361	0.504104	7.89857
1	1.92551	5.84068	9.04486
2	1.77568	5.95504	8.72068
2	2.07535	5.72631	9.36904
2	2.14185	5.59722	8.85898
2	1.70917	6.08413	9.23074
3	1.87742	-0.460177	-0.543968
1	2.48487	5.07119	6.55137
2	2.85027	5.15044	6.58016
2	2.11947	4.99195	6.52257
2	2.44377	5.12675	6.91995
2	2.52596	5.01564	6.18279
3	2.82359	1.85285	1.57954
1	4.1258	-0.491832	0.277145
2	4.1064	9.75839	0.620386
2	4.14519	-0.342053	-0.066097
2	4.38551	9.65516	0.181417
2	3.86609	-0.238828	0.372872
3	2.5116	1.64175	2.67684
1	1.99879	9.69641	3.62344
2	2.08686	-0.362345	3.75158
2	1.91072	9.35517	3.49529
2	1.73819	9.66318	3.89104
2	2.25938	9.72965	3.35583
3	6.43644	9.53917	2.69704
1	4.918	1.77458	9.47062
2	4.76355	1.44813	9.36965
2	5.07246	2.10104	9.5716
2	5.25343	1.6509	9.35742
2	4.58257	1.89827	9.58382
3	-0.296402	2.54699	-0.0219923
1	4.32924	0.764936	0.197917
2	4.69134	0.855195	0.234821
2	3.96714	0.674677	0.161014
2	4.42377	0.474849	-0.0201165
2	4.23472	1.05502	0.415951
3	-0.426175	8.15799	-0.597855
1	9.34727	3.3758	-0.524354
2	9.5861	3.34606	-0.236777
2	9.10844	3.40554	9.58807
2	9.09027	3.18313	-0.330838
2	9.60428	3.56848	9.68213
3	3.92167	-0.416935	1.56615
1	0.632035	1.77937	1.14311
2	0.83488	1.72324	1.45348
2	0.429191	1.83549	0.832744
2	0.330756	1.6357	1.31404
2	0.933315	1.92303	0.972188
3	4.39206	8.4776	0.412414
1	2.01321	0.0660084	-0.340422
2	2.11386	0.393362	-0.187663
2	1.91256	-0.261345	-0.49318
2	2.08535	-0.107588	-0.0159452
2	1.94107	0.239605	9.7351
3	2.93277	0.064826	1.83682
1	3.19558	0.658106	0.195099
2	3.56999	0.637356	0.197708
2	2.82116	0.678856	0.19249
